aardwolf	{"temperatureRange": "10-30", "precipitationRange": "15-100", "kind": "small mammal", "sealife": false, "diet": ["insect", "termite"]}
adouri	{"temperatureRange": "10-30", "precipitationRange": "70-150", "kind": "large mammal", "sealife": false, "diet": ["plant"]}
african black crake	{"temperatureRange": "10-35", "precipitationRange": "100-250", "kind": "small bird", "sealife": false, "diet": ["insect", "small fish", "small amphibian", "seed"]}
african buffalo	{"temperatureRange": "10-40", "precipitationRange": "65-100", "kind": "large mammal", "sealife": false, "diet": ["plant"]}
african bush squirrel	{"temperatureRange": "10-40", "precipitationRange": "25-100", "kind": "small mammal", "sealife": false, "diet": ["seed", "nut", "fruit", "plant", "insect", "egg", "small reptile"]}
african clawless otter	{"temperatureRange": "10-30", "precipitationRange": "50-200", "kind": "small mammal", "sealife": false, "diet": ["small fish", "crab", "insect", "small reptile", "small amphibian", "egg"]}
african darter	{"temperatureRange": "10-40", "precipitationRange": "50-200", "kind": "large bird", "sealife": false, "diet": ["small fish", "insect", "crustacean", "amphibian"]}
african elephant	{"temperatureRange": "10-40", "precipitationRange": "75-375", "kind": "giant mammal", "sealife": false, "diet": ["plant", "fruit", "bark", "wood", "root"]}
african fish eagle	{"temperatureRange": "10-40", "precipitationRange": "70-200", "kind": "large bird", "sealife": false, "diet": ["small fish", "large fish", "small reptile", "small bird", "carcass"]}
african ground squirrel	{"temperatureRange": "20-35", "precipitationRange": "25-100", "kind": "small mammal", "sealife": false, "diet": ["seed", "nut", "fruit", "plant", "insect", "small reptile", "egg"]}
african jacana	{"temperatureRange": "10-35", "precipitationRange": "100-250", "kind": "small bird", "sealife": false, "diet": ["insect", "small fish", "small amphibian", "plant"]}
african lion	{"temperatureRange": "-10-45", "precipitationRange": "25-150", "kind": "large mammal", "sealife": false, "diet": ["small mammal", "large mammal", "carcass"]}
african lynx	{"temperatureRange": "-10-45", "precipitationRange": "25-100", "kind": "small mammal", "sealife": false, "diet": ["small mammal", "bird", "reptile", "insect"]}
african pied wagtail	{"temperatureRange": "-5-35", "precipitationRange": "25-200", "kind": "small bird", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small fish", "carcass"]}
african polecat	{"temperatureRange": "10-40", "precipitationRange": "25-100", "kind": "small mammal", "sealife": false, "diet": ["small mammal", "small bird", "insect", "small reptile", "egg", "carcass"]}
african porcupine	{"temperatureRange": "-5-40", "precipitationRange": "25-150", "kind": "large mammal", "sealife": false, "diet": ["plant", "fruit", "root", "bark", "nut", "bone", "carcass"]}
african red-eyed bulbul	{"temperatureRange": "10-35", "precipitationRange": "50-200", "kind": "small bird", "sealife": false, "diet": ["fruit", "seed", "insect", "nectar"]}
african skink	{"temperatureRange": "24-35", "precipitationRange": "25-75", "kind": "small reptile", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small mammal", "egg", "fruit"]}
african snake	{"temperatureRange": "20-45", "precipitationRange": "20-150", "kind": "large reptile", "sealife": false, "diet": ["insect", "small reptile", "large reptile", "small amphibian", "large amphibian", "small bird", "large bird", "small mammal", "egg"]}
african wild cat	{"temperatureRange": "-5-50", "precipitationRange": "10-100", "kind": "small mammal", "sealife": false, "diet": ["small mammal", "small bird", "small reptile", "insect", "egg"]}
african wild dog	{"temperatureRange": "-10-40", "precipitationRange": "25-100", "kind": "large mammal", "sealife": false, "diet": ["small mammal", "large mammal", "carcass"]}
agama lizard	{"temperatureRange": "25-38", "precipitationRange": "25-100", "kind": "small reptile", "sealife": false, "diet": ["insect", "small reptile", "small mammal", "fruit", "seed"]}
agile wallaby	{"temperatureRange": "10-35", "precipitationRange": "50-150", "kind": "small mammal", "sealife": false, "diet": ["grass", "fruit", "seed", "plant"]}
agouti	{"temperatureRange": "20-30", "precipitationRange": "150-400", "kind": "small mammal", "sealife": false, "diet": ["fruit", "seed", "nut", "leaf", "root", "flower"]}
alpaca	{"temperatureRange": "-15-25", "precipitationRange": "30-100", "kind": "large mammal", "sealife": false, "diet": ["plant"]}
amazon parrot	{"temperatureRange": "20-35", "precipitationRange": "150-300", "kind": "large bird", "sealife": false, "diet": ["fruit", "seed", "nut", "plant", "nectar"]}
american alligator	{"temperatureRange": "23-35", "precipitationRange": "100-150", "kind": "large reptile", "sealife": false, "diet": ["fish", "small mammal", "bird", "reptile", "amphibian", "carcass"]}
american badger	{"temperatureRange": "-20-35", "precipitationRange": "25-100", "kind": "small mammal", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small mammal", "egg", "carcass"]}
american beaver	{"temperatureRange": "-40-30", "precipitationRange": "50-200", "kind": "large mammal", "sealife": false, "diet": ["plant", "wood", "bark", "leaves", "aquatic plants"]}
american bighorn sheep	{"temperatureRange": "-20-35", "precipitationRange": "25-50", "kind": "large mammal", "sealife": false, "diet": ["plant", "grass", "forb", "sedge"]}
american bison	{"temperatureRange": "-30-30", "precipitationRange": "30-100", "kind": "large mammal", "sealife": false, "diet": ["plant"]}
american black bear	{"temperatureRange": "-30-30", "precipitationRange": "50-200", "kind": "large mammal", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small fish", "small mammal", "large mammal", "carcass", "plant", "fruit", "seed", "nut", "berry", "honey"]}
american buffalo	{"temperatureRange": "-30-40", "precipitationRange": "30-120", "kind": "large mammal", "sealife": false, "diet": ["plant"]}
american crow	{"temperatureRange": "-30-40", "precipitationRange": "25-100", "kind": "large bird", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small fish", "small mammal", "egg", "plant", "fruit", "seed", "nut", "carcass"]}
american marten	{"temperatureRange": "-30-30", "precipitationRange": "75-200", "kind": "small mammal", "sealife": false, "diet": ["small mammal", "insect", "small bird", "egg", "fruit", "nut", "carcass"]}
american racer	{"temperatureRange": "10-35", "precipitationRange": "50-120", "kind": "small reptile", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small mammal", "egg"]}
american virginia opossum	{"temperatureRange": "-10-35", "precipitationRange": "75-150", "kind": "small mammal", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small mammal", "fruit", "seed", "nut", "carcass"]}
