abaca	{"temperatureRange": "20-35", "precipitationRange": "200-400", "sunlightRange": "1500-2500", "kind": "grass", "maximumHeight": "6", "evergreen": true, "sealife": false, "carnivorous": false, "flower": false, "fruits": false, "nuts": false, "seeds": true, "cones": false, "tuber": false}
abraham's balm	{"temperatureRange": "10-30", "precipitationRange": "40-100", "sunlightRange": "2000-3000", "kind": "bush", "maximumHeight": "1.5", "evergreen": false, "sealife": false, "carnivorous": false, "flower": true, "fruits": false, "nuts": false, "seeds": true, "cones": false, "tuber": false}
acacia	{"temperatureRange": "15-40", "precipitationRange": "50-200", "sunlightRange": "2000-3500", "kind": "tree", "maximumHeight": "25", "evergreen": true, "sealife": false, "carnivorous": false, "flower": true, "fruits": true, "nuts": false, "seeds": true, "cones": false, "tuber": false}
acerola	{"temperatureRange": "20-30", "precipitationRange": "100-200", "sunlightRange": "2000-3000", "kind": "bush", "maximumHeight": "3", "evergreen": true, "sealife": false, "carnivorous": false, "flower": true, "fruits": true, "nuts": false, "seeds": true, "cones": false, "tuber": false}
african mahogany	{"temperatureRange": "20-35", "precipitationRange": "150-300", "sunlightRange": "2000-3000", "kind": "tree", "maximumHeight": "50", "evergreen": false, "sealife": false, "carnivorous": false, "flower": true, "fruits": true, "nuts": false, "seeds": true, "cones": false, "tuber": false}
african pear	{"temperatureRange": "20-30", "precipitationRange": "100-200", "sunlightRange": "1000-2000", "kind": "tree", "maximumHeight": 20, "evergreen": true, "sealife": false, "carnivorous": false, "flower": true, "fruits": true, "nuts": false, "seeds": true, "cones": false, "tuber": false}
african plum	{"temperatureRange": "15-25", "precipitationRange": "75-150", "sunlightRange": "1200-2000", "kind": "tree", "maximumHeight": 15, "evergreen": false, "sealife": false, "carnivorous": false, "flower": true, "fruits": true, "nuts": false, "seeds": true, "cones": false, "tuber": false}
african podocarps	{"temperatureRange": "10-25", "precipitationRange": "100-200", "sunlightRange": "1500-2500", "kind": "tree", "maximumHeight": 40, "evergreen": true, "sealife": false, "carnivorous": false, "flower": false, "fruits": false, "nuts": false, "seeds": true, "cones": true, "tuber": false}
african rosewood	{"temperatureRange": "20-35", "precipitationRange": "50-150", "sunlightRange": "1000-2000", "kind": "tree", "maximumHeight": 25, "evergreen": false, "sealife": false, "carnivorous": false, "flower": true, "fruits": true, "nuts": false, "seeds": true, "cones": false, "tuber": false}
african sausage	{"temperatureRange": "20-30", "precipitationRange": "50-150", "sunlightRange": "1500-2500", "kind": "tree", "maximumHeight": 10, "evergreen": true, "sealife": false, "carnivorous": false, "flower": true, "fruits": true, "nuts": false, "seeds": true, "cones": false, "tuber": false}
african tulip	{"temperatureRange": "20-30", "precipitationRange": "100-200", "sunlightRange": "2000-3000", "kind": "tree", "maximumHeight": 20, "evergreen": true, "sealife": false, "carnivorous": false, "flower": true, "fruits": true, "nuts": false, "seeds": true, "cones": false, "tuber": false}
aʻiaʻi	{"temperatureRange": "25-35", "precipitationRange": "75-150", "sunlightRange": "2500-3500", "kind": "tree", "maximumHeight": 15, "evergreen": false, "sealife": false, "carnivorous": false, "flower": true, "fruits": true, "nuts": false, "seeds": true, "cones": false, "tuber": false}
akume	{"temperatureRange": "20-30", "precipitationRange": "150-250", "sunlightRange": "1500-2500", "kind": "tree", "maximumHeight": 30, "evergreen": true, "sealife": false, "carnivorous": false, "flower": false, "fruits": false, "nuts": false, "seeds": true, "cones": false, "tuber": false}
albizia silk	{"temperatureRange": "15-25", "precipitationRange": "75-150", "sunlightRange": "2000-3000", "kind": "tree", "maximumHeight": 12, "evergreen": false, "sealife": false, "carnivorous": false, "flower": true, "fruits": true, "nuts": false, "seeds": true, "cones": false, "tuber": false}
alder	{"temperatureRange": "5-20", "precipitationRange": "75-200", "sunlightRange": "1500-2500", "kind": "tree", "maximumHeight": 25, "evergreen": false, "sealife": false, "carnivorous": false, "flower": true, "fruits": false, "nuts": false, "seeds": true, "cones": true, "tuber": false}
alerce	{"temperatureRange": "5-20", "precipitationRange": "200-400", "sunlightRange": "1500-2500", "kind": "tree", "maximumHeight": "50", "evergreen": true, "sealife": false, "carnivorous": false, "flower": false, "fruits": false, "nuts": false, "seeds": true, "cones": true, "tuber": false}
alexandra palm	{"temperatureRange": "20-30", "precipitationRange": "100-200", "sunlightRange": "2000-3000", "kind": "tree", "maximumHeight": "30", "evergreen": true, "sealife": false, "carnivorous": false, "flower": true, "fruits": true, "nuts": false, "seeds": true, "cones": false, "tuber": false}
alexandrian laurel	{"temperatureRange": "15-25", "precipitationRange": "100-200", "sunlightRange": "2000-3000", "kind": "tree", "maximumHeight": "20", "evergreen": true, "sealife": false, "carnivorous": false, "flower": true, "fruits": true, "nuts": false, "seeds": true, "cones": false, "tuber": false}
alfalfa	{"temperatureRange": "10-30", "precipitationRange": "40-80", "sunlightRange": "2000-3000", "kind": "grass", "maximumHeight": "1", "evergreen": false, "sealife": false, "carnivorous": false, "flower": true, "fruits": false, "nuts": false, "seeds": true, "cones": false, "tuber": false}
algarrobo	{"temperatureRange": "10-35", "precipitationRange": "20-60", "sunlightRange": "2500-3500", "kind": "tree", "maximumHeight": "15", "evergreen": true, "sealife": false, "carnivorous": false, "flower": true, "fruits": true, "nuts": false, "seeds": true, "cones": false, "tuber": false}
algarrobos	{"temperatureRange": "10-40", "precipitationRange": "25-75", "sunlightRange": "2000-3000", "kind": "tree", "maximumHeight": 10, "evergreen": true, "sealife": false, "carnivorous": false, "flower": true, "fruits": true, "nuts": false, "seeds": true, "cones": false, "tuber": false}
